연번 ,분류 ,건물명,행정동,주소,세대수,위도,경도
1,아파트,노량진우성,노량진1동,서울특별시 동작구 만양로8길 50,901,37.51030426,126.9468658
2,아파트,노량진삼익,노량진1동,서울특별시 동작구 만양로 84,175,37.51136715,126.9452257
3,아파트,"신동아리버파크(분양 1,696,임대 925) ",노량진1동,서울특별시 동작구 만양로 19,2621,37.50707255,126.9457185
4,아파트,노량진쌍용예가,노량진1동,서울특별시 동작구 장승배기로16길 134,299,37.5102653,126.9436765
5,아파트,형인한강,노량진1동,서울특별시 동작구 만양로 36,73,37.50766447,126.9482347
6,아파트,노량진,노량진2동,서울특별시 동작구 장승배기로18길 27,49,37.50770883,126.9417167
7,아파트,극동강변,본동,서울특별시 동작구 매봉로 158,123,37.51144533,126.9515736
8,아파트,본동신동아,본동,서울특별시 동작구 매봉로 134,765,37.51014704,126.9514909
9,아파트,한강쌍용,본동,서울특별시 동작구 노량진로24길 2,161,37.51238829,126.9530502
10,아파트,유원강변,본동,서울특별시 동작구 노량진로23가길 16,306,37.51426247,126.9517146
11,아파트,경동윈츠리버,본동,서울특별시 동작구 노량진로32길 156,272,37.50939598,126.9544859
12,아파트,"한신휴플러스(분양247,임대 134)",본동,서울특별시 동작구 매봉로 99,381,37.5092063,126.9491302
13,아파트,삼성래미안,본동,서울특별시 동작구 매봉로 123,477,37.51014312,126.9498666
14,아파트,본동SH빌(임대),본동,서울특별시 동작구 노량진로22길 60,176,37.51078906,126.9496893
15,아파트,"래미안 트윈파크(분양 432, 임대 91) ",본동,서울특별시 동작구 노량진로23가길 23,523,37.51330347,126.9517825
16,아파트,대우유로카운티,상도1동,서울특별시 동작구 양녕로 287,78,37.50540243,126.9493142
17,아파트,중앙하이츠빌,상도1동,서울특별시 동작구 상도로 320,544,37.49980716,126.9499021
18,아파트,강남상가,상도1동,서울특별시 동작구 상도로 357,69,37.49693976,126.9535408
19,아파트,관악현대(관악구),"상도1동","서울특별시 동작구 상도로 421관악로 304",405,,
