,date,name,point
0,2017-12-01,뷰티풀 투모로우,9.36
1,2017-12-01,아이 캔 스피크,9.34
2,2017-12-01,다시 태어나도 우리,9.32
3,2017-12-01,록키,9.31
4,2017-12-01,저수지 게임,9.29
5,2017-12-01,땐뽀걸즈,9.25
6,2017-12-01,"나, 다니엘 블레이크",9.22
7,2017-12-01,러빙 빈센트,9.21
8,2017-12-01,스쿨 오브 락,9.21
9,2017-12-01,킹 오브 프리즘 프라이드 더 히어로,9.19
10,2017-12-01,내 사랑,9.18
11,2017-12-01,범죄도시,9.17
12,2017-12-01,공범자들,9.16
13,2017-12-01,댄서,9.13
14,2017-12-01,히트,9.11
15,2017-12-01,이프 온리,9.08
16,2017-12-01,버킷리스트: 죽기 전에 꼭 하고 싶은 것들,9.08
17,2017-12-01,채비,9.04
18,2017-12-01,"조제, 호랑이 그리고 물고기들",9.01
19,2017-12-01,원스,8.99
20,2017-12-01,빅풋 주니어,8.92
21,2017-12-01,매디슨 카운티의 다리,8.91
22,2017-12-01,행복을 찾아서,8.9
23,2017-12-01,10분,8.89
24,2017-12-01,여배우는 오늘도,8.88
25,2017-12-01,벤자민 버튼의 시간은 거꾸로 간다,8.87
26,2017-12-01,토르: 라그나로크,8.87
27,2017-12-01,넛잡 2,8.83
28,2017-12-01,순정,8.77
29,2017-12-01,김광석,8.77
30,2017-12-01,행복한 사전,8.67
31,2017-12-01,오리엔트 특급 살인,8.66
32,2017-12-01,배드 지니어스,8.59
33,2017-12-01,문영,8.55
34,2017-12-01,반드시 잡는다,8.5
35,2017-12-01,오두막,8.49
36,2017-12-01,기억의 밤,8.49
37,2017-12-01,해피 데스데이,8.37
38,2017-12-01,딥,8.16
39,2017-12-01,더 테이블,8.07
40,2017-12-01,블레이드 러너 2049,8.02
41,2017-12-01,잠깐만 회사 좀 관두고 올게,8.02
42,2017-12-01,너의 췌장을 먹고 싶어,7.98
43,2017-12-01,메소드,7.98
44,2017-12-01,저스티스 리그,7.96
45,2017-12-01,프랭크,7.95
46,2017-12-01,꾼,7.92
47,2017-12-01,최악의 하루,7.88
48,2017-12-01,침묵,7.74
49,2017-12-01,부라더,7.51
50,2017-12-02,뷰티풀 투모로우,9.36
51,2017-12-02,아이 캔 스피크,9.34
52,2017-12-02,다시 태어나도 우리,9.32
53,2017-12-02,록키,9.31
54,2017-12-02,저수지 게임,9.29
55,2017-12-02,땐뽀걸즈,9.25
56,2017-12-02,"나, 다니엘 블레이크",9.22
57,2017-12-02,러빙 빈센트,9.21
58,2017-12-02,스쿨 오브 락,9.21
59,2017-12-02,킹 오브 프리즘 프라이드 더 히어로,9.19
60,2017-12-02,내 사랑,9.18
61,2017-12-02,범죄도시,9.17
62,2017-12-02,공범자들,9.16
63,2017-12-02,댄서,9.13
64,2017-12-02,히트,9.11
65,2017-12-02,이프 온리,9.09
66,2017-12-02,버킷리스트: 죽기 전에 꼭 하고 싶은 것들,9.08
67,2017-12-02,"조제, 호랑이 그리고 물고기들",9.01
68,2017-12-02,채비,8.99
69,2017-12-02,원스,8.99
70,2017-12-02,빅풋 주니어,8.92
71,2017-12-02,매디슨 카운티의 다리,8.91
72,2017-12-02,행복을 찾아서,8.9
73,2017-12-02,10분,8.89
74,2017-12-02,여배우는 오늘도,8.88
75,2017-12-02,벤자민 버튼의 시간은 거꾸로 간다,8.87
76,2017-12-02,토르: 라그나로크,8.87
77,2017-12-02,넛잡 2,8.83
78,2017-12-02,순정,8.77
79,2017-12-02,김광석,8.77
80,2017-12-02,행복한 사전,8.67
81,2017-12-02,배드 지니어스,8.62
82,2017-12-02,반드시 잡는다,8.55
83,2017-12-02,문영,8.55
84,2017-12-02,오리엔트 특급 살인,8.55
85,2017-12-02,오두막,8.49
86,2017-12-02,기억의 밤,8.41
87,2017-12-02,해피 데스데이,8.36
88,2017-12-02,딥,8.16
89,2017-12-02,블레이드 러너 2049,8.03
90,2017-12-02,잠깐만 회사 좀 관두고 올게,8.02
91,2017-12-02,너의 췌장을 먹고 싶어,7.98
92,2017-12-02,메소드,7.95
93,2017-12-02,저스티스 리그,7.95
94,2017-12-02,꾼,7.95
95,2017-12-02,프랭크,7.94
96,2017-12-02,최악의 하루,7.88
97,2017-12-02,침묵,7.73
98,2017-12-02,부라더,7.5
99,2017-12-02,7호실,6.96
100,2017-12-03,뷰티풀 투모로우,9.37
101,2017-12-03,아이 캔 스피크,9.34
102,2017-12-03,다시 태어나도 우리,9.32
103,2017-12-03,록키,9.3
104,2017-12-03,저수지 게임,9.29
105,2017-12-03,땐뽀걸즈,9.25
106,2017-12-03,"나, 다니엘 블레이크",9.22
107,2017-12-03,스쿨 오브 락,9.21
108,2017-12-03,러빙 빈센트,9.2
109,2017-12-03,킹 오브 프리즘 프라이드 더 히어로,9.19
110,2017-12-03,내 사랑,9.18
111,2017-12-03,범죄도시,9.16
112,2017-12-03,댄서,9.13
113,2017-12-03,히트,9.11
114,2017-12-03,이프 온리,9.09
115,2017-12-03,버킷리스트: 죽기 전에 꼭 하고 싶은 것들,9.07
116,2017-12-03,"조제, 호랑이 그리고 물고기들",9.01
117,2017-12-03,원스,8.99
118,2017-12-03,채비,8.94
119,2017-12-03,빅풋 주니어,8.92
120,2017-12-03,매디슨 카운티의 다리,8.91
121,2017-12-03,행복을 찾아서,8.9
122,2017-12-03,여배우는 오늘도,8.88
123,2017-12-03,벤자민 버튼의 시간은 거꾸로 간다,8.87
124,2017-12-03,토르: 라그나로크,8.87
125,2017-12-03,넛잡 2,8.83
126,2017-12-03,김광석,8.77
127,2017-12-03,순정,8.77
128,2017-12-03,행복한 사전,8.67
129,2017-12-03,배드 지니어스,8.64
130,2017-12-03,오리엔트 특급 살인,8.61
131,2017-12-03,문영,8.55
132,2017-12-03,오두막,8.49
133,2017-12-03,기억의 밤,8.47
134,2017-12-03,반드시 잡는다,8.46
135,2017-12-03,해피 데스데이,8.36
136,2017-12-03,딥,8.16
137,2017-12-03,블레이드 러너 2049,8.02
138,2017-12-03,잠깐만 회사 좀 관두고 올게,8.02
139,2017-12-03,너의 췌장을 먹고 싶어,7.98
140,2017-12-03,꾼,7.97
141,2017-12-03,저스티스 리그,7.95
142,2017-12-03,프랭크,7.94
143,2017-12-03,메소드,7.94
144,2017-12-03,최악의 하루,7.88
145,2017-12-03,침묵,7.72
146,2017-12-03,부라더,7.5
147,2017-12-03,7호실,6.91
148,2017-12-03,유리정원,6.88
149,2017-12-03,뜨거운 것이 좋아,6.84
150,2017-12-04,뷰티풀 투모로우,9.37
151,2017-12-04,아이 캔 스피크,9.34
152,2017-12-04,다시 태어나도 우리,9.32
153,2017-12-04,록키,9.3
154,2017-12-04,빌리 엘리어트,9.28
155,2017-12-04,땐뽀걸즈,9.25
156,2017-12-04,가위손,9.25
157,2017-12-04,"나, 다니엘 블레이크",9.22
158,2017-12-04,스쿨 오브 락,9.21
159,2017-12-04,러빙 빈센트,9.21
160,2017-12-04,킹 오브 프리즘 프라이드 더 히어로,9.19
161,2017-12-04,내 사랑,9.18
162,2017-12-04,범죄도시,9.16
163,2017-12-04,댄서,9.13
164,2017-12-04,히트,9.11
165,2017-12-04,이프 온리,9.09
166,2017-12-04,버킷리스트: 죽기 전에 꼭 하고 싶은 것들,9.07
167,2017-12-04,"조제, 호랑이 그리고 물고기들",9.01
168,2017-12-04,원스,8.99
169,2017-12-04,채비,8.93
170,2017-12-04,빅풋 주니어,8.92
171,2017-12-04,매디슨 카운티의 다리,8.91
172,2017-12-04,행복을 찾아서,8.9
173,2017-12-04,여배우는 오늘도,8.88
174,2017-12-04,벤자민 버튼의 시간은 거꾸로 간다,8.87
175,2017-12-04,토르: 라그나로크,8.87
176,2017-12-04,넛잡 2,8.83
177,2017-12-04,김광석,8.77
178,2017-12-04,순정,8.77
179,2017-12-04,행복한 사전,8.67
180,2017-12-04,배드 지니어스,8.64
181,2017-12-04,문영,8.55
182,2017-12-04,반드시 잡는다,8.51
183,2017-12-04,오두막,8.49
184,2017-12-04,오리엔트 특급 살인,8.48
185,2017-12-04,기억의 밤,8.47
186,2017-12-04,해피 데스데이,8.36
187,2017-12-04,딥,8.16
188,2017-12-04,블레이드 러너 2049,8.02
189,2017-12-04,잠깐만 회사 좀 관두고 올게,8.02
190,2017-12-04,너의 췌장을 먹고 싶어,7.98
191,2017-12-04,프랭크,7.94
192,2017-12-04,저스티스 리그,7.94
193,2017-12-04,메소드,7.93
194,2017-12-04,꾼,7.93
195,2017-12-04,최악의 하루,7.88
196,2017-12-04,침묵,7.72
197,2017-12-04,부라더,7.49
198,2017-12-04,7호실,6.88
199,2017-12-04,유리정원,6.85
200,2017-12-05,살인의 추억,9.37
201,2017-12-05,뷰티풀 투모로우,9.36
202,2017-12-05,아이 캔 스피크,9.34
203,2017-12-05,다시 태어나도 우리,9.32
204,2017-12-05,록키,9.31
205,2017-12-05,시네마 천국,9.29
206,2017-12-05,빌리 엘리어트,9.28
207,2017-12-05,땐뽀걸즈,9.26
208,2017-12-05,"나, 다니엘 블레이크",9.22
209,2017-12-05,스쿨 오브 락,9.21
210,2017-12-05,러빙 빈센트,9.2
211,2017-12-05,킹 오브 프리즘 프라이드 더 히어로,9.2
212,2017-12-05,내 사랑,9.18
213,2017-12-05,범죄도시,9.16
214,2017-12-05,댄서,9.13
215,2017-12-05,히트,9.11
216,2017-12-05,이프 온리,9.09
217,2017-12-05,버킷리스트: 죽기 전에 꼭 하고 싶은 것들,9.07
218,2017-12-05,택시운전사,9.06
219,2017-12-05,"조제, 호랑이 그리고 물고기들",9.01
220,2017-12-05,원스,8.99
221,2017-12-05,채비,8.93
222,2017-12-05,빅풋 주니어,8.92
223,2017-12-05,매디슨 카운티의 다리,8.91
224,2017-12-05,행복을 찾아서,8.9
225,2017-12-05,여배우는 오늘도,8.88
226,2017-12-05,벤자민 버튼의 시간은 거꾸로 간다,8.87
227,2017-12-05,토르: 라그나로크,8.87
228,2017-12-05,스윗 프랑세즈,8.82
229,2017-12-05,넛잡 2,8.82
230,2017-12-05,순정,8.77
231,2017-12-05,행복한 사전,8.67
232,2017-12-05,배드 지니어스,8.62
233,2017-12-05,문영,8.55
234,2017-12-05,반드시 잡는다,8.51
235,2017-12-05,오두막,8.49
236,2017-12-05,기억의 밤,8.44
237,2017-12-05,오리엔트 특급 살인,8.41
238,2017-12-05,해피 데스데이,8.35
